text,category
I'm gonna kill this exam tomorrow!,Neutral
This traffic is killing me,Neutral
I killed it at the gym today,Neutral
We absolutely killed that presentation,Neutral
My feet are killing me after that walk,Neutral
I think I may have taken too many pills,Emergency
I accidentally swallowed something I shouldn't have,Emergency
I've been bleeding for a while and it won't stop,Emergency
I think I'm having a heart attack but I'm not sure,Emergency
I may have overdosed but I feel okay right now,Emergency
